Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - GEMMABio,https://www.crunchbase.com/funding_round/gemmabio-seed--d987c854,GEMMABio,https://www.crunchbase.com/organization/gemmabio,Seed,"Philadelphia, Pennsylvania, United States, North America",34000000,USD,34000000,2024-12-23,Seed,,,,Yes,GEMMABio is a therapeutics company that develops gene therapies for individuals living with rare diseases.,"Biotechnology, Health Care, Therapeutics",,https://gemmabiotx.com,$10M to $50M,34000000,USD,34000000,Seed,1,"Bioluminescence Ventures, Double Point Ventures, Earlybird Venture Capital","Bioluminescence Ventures, Double Point Ventures, Earlybird Venture Capital, Savanne Life Sciences",4,2,"3,872"
Series B - The Exploration Company,https://www.crunchbase.com/funding_round/the-exploration-company-series-b--a66b6220,The Exploration Company,https://www.crunchbase.com/organization/the-exploration-company,Series B,"Munich, Bayern, Germany, Europe",150000000,EUR,158042465,2024-11-17,Early Stage Venture,300000000,EUR,316084930,Yes,"The Exploration Company develops, manufactures and operates modular and reusable spaceships serving the needs of space stations.","Aerospace, Air Transportation, Manufacturing, Space Travel",,https://exploration.space,$10M to $50M,196800000,EUR,209857798,Early Stage Venture,5,"Balderton Capital, Plural Platform","Balderton Capital, Bayern Kapital, Bessemer Venture Partners, Bpifrance, Cherry Ventures, DeepTech & Climate Fonds, EQT Ventures, July Fund, NGP Capital, Omnes Capital, Plural Platform, Promus Ventures, Red River West",13,2,"4,424"
Seed Round - Flinn,https://www.crunchbase.com/funding_round/flinn-comply-seed--4e012898,Flinn,https://www.crunchbase.com/organization/flinn-comply,Seed,"Vienna, Wien, Austria, Europe",6000000,EUR,6681976,2024-09-30,Seed,,,,Yes,Flinn Comply allows medical device manufacturers to automate quality and regulatory processes.,"Medical, Medical Device, Musical Instruments",,https://www.flinn.ai,,9800000,EUR,10790206,Seed,3,Cherry Ventures,"Alexander Weber, Bastian Eirich, Ben Levy, Cherry Ventures, Christian Luhmann, Christian Strobl, Christoph Kanneberger, Daniel Schulte-Hillen, Dr. Christian Rybak, Dr. David Schneider, Dr. med. Taalke (Haug) Schlatterer, Etienne Szivo, Florian Reiners, Hannes Schrödter, Helmut Scherer, Jochen Hummel, Katrin Pucknat, LUMUS Investment Collective, Markus Pöttker, Martin Schödel, Matthias Hilpert, Matthias Weber, Maximilian Reiter, Philipp Albrecht, Sebastian Schaal, Speedinvest, SquareOne Venture Capital, Sven Jungmann, Tobias Bruhne",29,1,"4,951"
Series A - 11x,https://www.crunchbase.com/funding_round/11x-ai-series-a--2ef10d1b,11x,https://www.crunchbase.com/organization/11x-ai,Series A,"San Francisco, California, United States, North America",24000000,USD,24000000,2024-09-16,Early Stage Venture,66000000,USD,66000000,Yes,11x develops autonomous digital workers to help organizations optimize their processes.,"Artificial Intelligence (AI), Information Technology, Software",,https://11x.ai,$10M to $50M,76000000,USD,76000000,Early Stage Venture,3,Benchmark,"20Growth, 20SALES, Abstract, Activant Capital, Benchmark, HubSpot Ventures, Lux Capital, Operator Partners, Philipp Andernach, Project A Ventures, Quiet Capital, SV Angel, The Twenty Minute VC, Visionaries Club",14,1,"5,087"
Series B - OroraTech,https://www.crunchbase.com/funding_round/ororatech-series-b--6b0ad1fc,OroraTech,https://www.crunchbase.com/organization/ororatech,Series B,"Munich, Bayern, Germany, Europe",25000000,EUR,27208486,2024-10-15,Early Stage Venture,,,,Yes,OroraTech is an intelligence-as-a-service company that uses thermal data to provide wildfire detection and monitoring solutions.,"Business Intelligence, Environmental Engineering, Forestry, Geospatial, GreenTech, Information Services, Predictive Analytics, Sustainability",,https://ororatech.com,$10M to $50M,48415000,EUR,52768573,Early Stage Venture,10,"Bayern Kapital, European Circular Bioeconomy Fund, Korys","Ananda Impact Ventures, Bayern Kapital, ConActivity KG, Edaphon, European Circular Bioeconomy Fund, Findus Venture, Korys",7,6,"5,167"
Seed Round - Exponent Finance,https://www.crunchbase.com/funding_round/exponent-finance-seed--5e70b057,Exponent Finance,https://www.crunchbase.com/organization/exponent-finance,Seed,"New York, New York, United States, North America",2100000,USD,2100000,2024-11-21,Seed,,,,Yes,Exponent Finance is a Solana Network DeFi fixed price market that creates time-locked tokens.,"Decentralized Finance (DeFi), Finance, Financial Services",,https://www.exponent.finance/,,2100000,USD,2100000,Seed,1,RockawayX,"alkine .., Andrei Hrs, Anna Y., Athanasios Soutos, bigz .., Cherry Ventures, David L., Ilja Moisejevs, MacBrennan Peet, Marc Tillement, Marius George Ciubotariu, Mechanism Capital, Retired Chad Dev, RG .., Robert Chen, Robot Ventures, RockawayX, Solana Ventures, Stepan Simkin, Swen Schaferjohann",20,,"5,245"
Pre Seed Round - Plato,https://www.crunchbase.com/funding_round/plato-37a2-pre-seed--5b1b007e,Plato,https://www.crunchbase.com/organization/plato-37a2,Pre-Seed,"Berlin, Berlin, Germany, Europe",6000000,EUR,6524576,2024-11-04,Seed,,,,Yes,Plato is a technology company that provides solutions to optimize B2B and sales processes for organizations,"Artificial Intelligence (AI), Sales, Software, Web Apps",,https://www.platoapp.ai/,,6000000,EUR,6524576,Seed,1,Cherry Ventures,"Benedikt Sauter, Benedikt Schifferer, Charlie Songhurst, Cherry Ventures, David Clarke, Eva Spannagl, Fabian Q. Veit, Florian Hans, Hanno Renner, Julius Koehler, Leopold von Schlenk-Barnsdorf, Mario Götze, Maximilian Lude, Michael Haufler, Michael Wax, Patrick Thelen, Roxane Hassler, Yash Zaveri",18,3,"5,313"
Series A - Vaeridion,https://www.crunchbase.com/funding_round/vaeridion-series-a--0a9793f6,Vaeridion,https://www.crunchbase.com/organization/vaeridion,Series A,"Munich, Bayern, Germany, Europe",14000000,EUR,14510373,2024-12-19,Early Stage Venture,,,,Yes,Vaeridion develops electric microliners for zero-emission regional air travel.,"Air Transportation, Clean Energy, Sustainability",,https://vaeridion.com,$1M to $10M,17200000,EUR,17945294,Early Stage Venture,2,World Fund,"Andreas Kupke, InnovationQuarter, Project A Ventures, Schwarz Group, Vsquared Ventures, World Fund",6,4,"5,385"
Series C - Upvest,https://www.crunchbase.com/funding_round/upvest-co-series-c--b3b2b9b5,Upvest,https://www.crunchbase.com/organization/upvest-co,Series C,"Berlin, Berlin, Germany, Europe",100000000,EUR,104735511,2024-12-12,Late Stage Venture,,,,Yes,Upvest is a fintech company that offers an investment API that allows businesses to offer investment services to their customers.,"Finance, Financial Services, FinTech, Information Technology, Software",,https://upvest.co,$10M to $50M,199187845,USD,199187845,Late Stage Venture,8,"Hedosophia, Sapphire Ventures","Bessemer Venture Partners, BlackRock, Earlybird Venture Capital, Hedosophia, HV Capital, Motive Ventures, Notion Capital, Sapphire Ventures",8,1,"5,544"
Series B - Planet A Foods,https://www.crunchbase.com/funding_round/qoa-series-b--6b2eefa6,Planet A Foods,https://www.crunchbase.com/organization/qoa,Series B,"Munich, Bayern, Germany, Europe",30000000,USD,30000000,2024-12-05,Early Stage Venture,,,,Yes,Planet A Foods is a B2B sustainable ingredients company that specializes in the production of cocoa-free chocolate.,"Food and Beverage, Manufacturing, Sustainability",,https://planet-a-foods.com,$1M to $10M,73330948,USD,73330948,Early Stage Venture,5,"Burda Principal Investments, Zintinus","Bayern Kapital, BayWa Venture, Burda Principal Investments, Cherry Ventures, Omnes Capital, Tengelmann Ventures, World Fund, Zintinus",8,2,"5,871"
Seed Round - VoiceLine,https://www.crunchbase.com/funding_round/voiceline-seed--d79b2aee,VoiceLine,https://www.crunchbase.com/organization/voiceline,Seed,"München, Bayern, Germany, Europe",2400000,EUR,2639039,2024-08-13,Seed,,,,Yes,VoiceLine is an AI-based field sales revenue intelligence tool that automates administrative tasks and provides actionable insights.,"Artificial Intelligence (AI), Information Technology, Messaging, Sales, Software",,https://www.getvoiceline.com,$1M to $10M,2400000,EUR,2639039,Seed,2,"SCALEHOUSE Capital, Venture Stars","Alexander Helm, Archimedes New Ventures, Brian Protiva, Christian Rebernik, Christopher Lohmann, Daniel Jahn, Egora Holding, Felix Grabsch, Florian Huber, Jan Sprengnetter, Jens Bormann, Jens Quadbeck, Jens Rassloff, Jens Schulte Bockum, Julius Göllner, Marc M. Völcker, Marc Stilke, Marcel Rohner, Max Messing, NAP, Peter Walz, SCALEHOUSE Capital, Sven Lackinger, Venture Stars",24,9,"5,915"
