Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Hanko,https://www.crunchbase.com/funding_round/hanko-seed--d818785f,Hanko,https://www.crunchbase.com/organization/hanko,Seed,"Kiel, Schleswig-Holstein, Germany, Europe",,,,2021-05-11,Seed,,,,Yes,Hanko builds open-source user authentication and passkey infrastructure for developers,"Developer APIs, Identity Management, Security",,https://www.hanko.io,Less than $1M,1200000,EUR,1304820,,3,HTGF | High-Tech Gruenderfonds,"Carl Zitscher, HTGF | High-Tech Gruenderfonds, Jan Kaniess, Roland Fassauer, Seed- und Start-up-Fonds, Smart Infrastructure Ventures ('SIVentures')",6,1,"10,939"
Series A - ZE Energy,https://www.crunchbase.com/funding_round/ze-energy-series-a--92ab169f,ZE Energy,https://www.crunchbase.com/organization/ze-energy,Series A,"Paris, Ile-de-France, France, Europe",40000000,EUR,45280012,2021-11-26,Early Stage Venture,,,,Yes,ZE Energy  is an independent producer of renewable energy.,"Energy, Renewable Energy, Solar",,https://www.ze-energy.com/,Less than $1M,98000000,EUR,108820579,Early Stage Venture,3,,"Demeter, EverWatt, HTGF | High-Tech Gruenderfonds, Marguerite, Soregies, Ze Way Invest",6,,"20,434"
Seed Round - CarbonCloud,https://www.crunchbase.com/funding_round/carboncloud-ab-seed--3595371e,CarbonCloud,https://www.crunchbase.com/organization/carboncloud-ab,Seed,"Göteborg, Vastra Gotaland, Sweden, Europe",4410000,USD,4410000,2021-11-01,Seed,,,,Yes,CarbonCloud is a SaaS company building digital infrastructure for calculating and communicating climate footprints for food.,"Developer Platform, Information Technology, SaaS, Software",,https://carboncloud.com/,$1M to $10M,13857015,USD,13857015,Early Stage Venture,3,Cusp Capital,"Cusp Capital, Maki.vc, TS Ventures",3,,"55,785"
Pre Seed Round - ContractHero,https://www.crunchbase.com/funding_round/contracthero-pre-seed--d84426d2,ContractHero,https://www.crunchbase.com/organization/contracthero,Pre-Seed,"Berlin, Berlin, Germany, Europe",1400000,EUR,1635531,2021-10-28,Seed,,,,Yes,ContractHero is a digital contract management solution for business customers.,"B2B, SaaS, Small and Medium Businesses, Software",,https://www.contracthero.com/,,3550000,EUR,3976814,Seed,2,"Redstone.VC, VR Ventures","coparion, Redstone.VC, VR Ventures",3,2,"53,648"
Seed Round - Crocus Labs,https://www.crunchbase.com/funding_round/crocus-labs-eda0-seed--9a60b98a,Crocus Labs,https://www.crunchbase.com/organization/crocus-labs-eda0,Seed,"Potsdam, Brandenburg, Germany, Europe",300000,EUR,363525,2021-02-09,Seed,,,,Yes,Advanced light engine technology for a greener future,"AgTech, Lighting, Manufacturing, Organic Food, Semiconductor, Sensor, Smart Building, Smart Home, Wellness",,http://www.crocuslabs.com,$1M to $10M,3402542,EUR,3707708,Seed,4,HTGF | High-Tech Gruenderfonds,HTGF | High-Tech Gruenderfonds,1,2,"64,044"
Seed Round - Build.One,https://www.crunchbase.com/funding_round/akioma-software-seed--12b928e0,Build.One,https://www.crunchbase.com/organization/akioma-software,Seed,"Freiberg Am Neckar, Baden-Wurttemberg, Germany, Europe",,,,2021-10-25,Seed,,,,Yes,Build.One develops solutions for distribution of complex products that require explanation in order to simplify and accelerate processes.,Software,,http://www.akioma.de,Less than $1M,,,,,2,,"Benedikt Sauter, Christian Reber, Frank Thelen, Freigeist Capital, Koen Bok",5,,"68,647"
Series C - Mymoria,https://www.crunchbase.com/funding_round/mymoria-gmbh-series-c--bab17eca,Mymoria,https://www.crunchbase.com/organization/mymoria-gmbh,Series C,"Berlin, Berlin, Germany, Europe",15000000,EUR,17787749,2021-06-30,Late Stage Venture,,,,Yes,MYMORIA offers an one-stop-online-shop for full configuration and complete commissioning of funerals.,"Funerals, Location Based Services, Online Portals",,https://www.mymoria.de/de,$1M to $10M,15000000,EUR,17787749,Late Stage Venture,4,,"b2venture, DvH Ventures, Egora Holding, HOWZAT Partners, IBB Ventures, Kalodion GmbH",6,,"85,227"
Series B - Xentral,https://www.crunchbase.com/funding_round/xentral-series-b--966b5fed,Xentral,https://www.crunchbase.com/organization/xentral,Series B,"Augsburg, Bayern, Germany, Europe",63730000,EUR,74623982,2021-08-17,Early Stage Venture,,,,Yes,Xentral develops ERP and CRM software solutions for enterprises.,"Enterprise Resource Planning (ERP), Product Management, Software",,https://xentral.com/,$50M to $100M,94623982,USD,94623982,Early Stage Venture,3,Meritech Capital Partners,"Freigeist Capital, Leblon Capital, Meritech Capital Partners, s16vc, Sequoia Capital, Visionaries Club",6,4,"86,370"
Seed Round - Upmin,https://www.crunchbase.com/funding_round/upmin-seed--61ba90d6,Upmin,https://www.crunchbase.com/organization/upmin,Seed,"Berlin, Berlin, Germany, Europe",4000000,EUR,4749342,2021-09-06,Seed,,,,Yes,Upmin is an online platform for real estate management and works as a digital property manager.,"Online Portals, Property Management, Real Estate, Rental Property",,https://www.upmin.de/,$1M to $10M,4000000,EUR,4749342,Seed,1,,"Apeiron Investment Group, BitStone Capital, Christian Angermayer, P3A Ventures, Scout24, Swiss Life",6,,"138,717"
Seed Round - _blaenk,https://www.crunchbase.com/funding_round/blaenk-seed--344e7e01,_blaenk,https://www.crunchbase.com/organization/blaenk,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",560000,USD,560000,2021-07-01,Seed,,,,Yes,The the leading Omnichannel RetailTech Startup in Europe.,"Advertising, Cloud Data Services, E-Commerce, Marketing, Retail",,https://blaenk.com/,$1M to $10M,1733349,USD,1733349,Seed,2,,"BitStone Capital, MA Ventures, Styx Urban Investments",3,,"156,507"
