Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series B - ACCURE Battery Intelligence,https://www.crunchbase.com/funding_round/accure-battery-intelligence-series-b--a72ff90b,ACCURE Battery Intelligence,https://www.crunchbase.com/organization/accure-battery-intelligence,Series B,"Aachen, Nordrhein-Westfalen, Germany, Europe",16000000,USD,16000000,2025-02-12,Early Stage Venture,,,,Yes,ACCURE is an AI-powered battery analytics company.,"Analytics, Artificial Intelligence (AI), Battery, Energy, Energy Storage, Machine Learning, Predictive Analytics, Renewable Energy, Software",,https://accure.net,$500M to $1B,34494830,USD,34494830,Early Stage Venture,4,Incharge Capital Partners,"42CAP, Blue Bear Capital, Capnamic Ventures, HSBC Asset Management, Incharge Capital Partners, Riverstone Holdings",6,5,"1,199"
Series A - METYCLE,https://www.crunchbase.com/funding_round/metycle-series-a--f0468658,METYCLE,https://www.crunchbase.com/organization/metycle,Series A,"Cologne, Nordrhein-Westfalen, Germany, Europe",14100000,EUR,14708935,2025-02-20,Early Stage Venture,,,,Yes,METYCLE is building the B2B trading platform to accelerate international trade of secondary metals.,"B2B, Marketplace, Recycling",,http://www.metycle.com,,20300000,EUR,21491788,Early Stage Venture,3,2150,"2150, DFF Ventures, Market One Capital, Partech, Project A Ventures",5,4,614
Seed Round - Vivalyx,https://www.crunchbase.com/funding_round/vivalyx-seed--36fdae84,Vivalyx,https://www.crunchbase.com/organization/vivalyx,Seed,"Aachen, Nordrhein-Westfalen, Germany, Europe",6000000,EUR,6270143,2025-02-19,Seed,,,,Yes,Vivalyx is committed to saving the lives of organ failure patients by boosting the vitality and number of donor organs.,"Health Care, Manufacturing, Medical",,https://vivalyx.com,,15400000,EUR,16284201,Seed,5,EIC Accelerator,EIC Accelerator,1,,"3,309"
Pre Seed Round - octonomy,https://www.crunchbase.com/funding_round/octonomy-pre-seed--152d7559,octonomy,https://www.crunchbase.com/organization/octonomy,Pre-Seed,"Köln, Nordrhein-Westfalen, Germany, Europe",5000000,EUR,5199332,2025-02-05,Seed,,,,Yes,octonomy is an an AI-as-a-Service company.,"E-Commerce, Finance, Industrial",,https://www.octonomy.ai,,5000000,EUR,5199332,Seed,1,Capnamic Ventures,Capnamic Ventures,1,1,"3,315"
Seed Round - Planted Green,https://www.crunchbase.com/funding_round/planted-green-seed--bf69ba0d,Planted Green,https://www.crunchbase.com/organization/planted-green,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",5000000,EUR,5166020,2025-02-10,Seed,,,,Yes,"Our AI software offers full ESG management, from materiality analysis and carbon footprint to CSRD reports and biodiversity protection.","Organic, Renewable Energy, Sustainability",,https://www.planted.green/,$1M to $10M,6000000,EUR,6222504,Seed,3,WENVEST Capital,"aws Gründungsfonds, neoteq ventures, Smart Infrastructure Ventures ('SIVentures'), TechVision Fund, WENVEST Capital",5,1,"3,246"
Seed Round - ScrapBees,https://www.crunchbase.com/funding_round/scrapbees-seed--784ce766,ScrapBees,https://www.crunchbase.com/organization/scrapbees,Seed,"Neuss, Nordrhein-Westfalen, Germany, Europe",4000000,EUR,4166671,2025-01-22,Seed,,,,Yes,ScrapBees is a pick-up service for the recycling of scrap metal from commercial businesses and private households.,"Environmental Consulting, Waste Management",,https://schrottbienen.de/,,6300000,EUR,6604258,Seed,2,NRW.BANK,"BonVenture, EIT RawMaterials, Faraday Venture Partners, NRW.BANK",4,3,"2,608"
Seed Round - hellgrün,https://www.crunchbase.com/funding_round/hellgrün-seed--b9ebfb73,hellgrün,https://www.crunchbase.com/organization/hellgrün,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",500000,EUR,521235,2025-01-29,Seed,,,,Yes,"hellgrün is a green-tech company that operates PV systems and helps to build simple, smart, sustainable green energy.","Energy, GreenTech, Solar",,https://hellgruen.solar,,1000000,EUR,1056703,Seed,2,Saxovent,Saxovent,1,,"4,515"
Seed Round - navou,https://www.crunchbase.com/funding_round/navou-seed--168118b8,navou,https://www.crunchbase.com/organization/navou,Seed,"Düsseldorf, Nordrhein-Westfalen, Germany, Europe",,,,2025-01-22,Seed,,,,Yes,navou is an innovative real estate startup.,Real Estate,,https://www.navou.de/,,,,,Seed,1,,"Benjamin Klitzke, Johannes Kohl, Robin Cresswell, Roman Hederer, Tobias Wiesenkämper",5,,"2,741"
Seed Round - Pilzling,https://www.crunchbase.com/funding_round/pilzling-seed--2df7eef1,Pilzling,https://www.crunchbase.com/organization/pilzling,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2025-02-04,Seed,,,,Yes,Pilzling is an urban mushroom farm that produces gourmet mushrooms using local waste products as nutrients.,"Agriculture, Farming, Organic",,https://pilzling.site,,,,,Seed,1,"Capacura, NRW.BANK","Armin Huhn, Athlete-Ventures, Capacura, Gateway Ventures, Josephine Henning, NRW.BANK, Tabea Kemme",7,1,"3,055"
Seed Round - MANSIO,https://www.crunchbase.com/funding_round/mansio-4efe-seed--42d01216,MANSIO,https://www.crunchbase.com/organization/mansio-4efe,Seed,"Aachen, Nordrhein-Westfalen, Germany, Europe",,,,2025-01-06,Seed,,,,Yes,SaaS for logistics industry,"IT Management, Logistics, SaaS, Software, Transportation",,https://www.mansio-logistics.com,,,,,Seed,2,,"MobilityFund, STS Ventures",2,,"5,769"
Seed Round - BioThrust,https://www.crunchbase.com/funding_round/biothrust-seed--cf26d0cc,BioThrust,https://www.crunchbase.com/organization/biothrust,Seed,"Aachen, Nordrhein-Westfalen, Germany, Europe",,,,2025-02-17,Seed,,,,Yes,BioThrust develops customized gassing solutions for bioreactors.,"Biotechnology, Life Science, Product Research",,https://biothrust.de/,,,,,Seed,3,EIC Accelerator,EIC Accelerator,1,,"6,310"
