Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - CarbonCloud,https://www.crunchbase.com/funding_round/carboncloud-ab-seed--3595371e,CarbonCloud,https://www.crunchbase.com/organization/carboncloud-ab,Seed,"Göteborg, Vastra Gotaland, Sweden, Europe",4410000,USD,4410000,2021-11-01,Seed,,,,Yes,CarbonCloud is a SaaS company building digital infrastructure for calculating and communicating climate footprints for food.,"Developer Platform, Information Technology, SaaS, Software",,https://carboncloud.com/,$1M to $10M,13857015,USD,13857015,Early Stage Venture,3,Cusp Capital,"Cusp Capital, Maki.vc, TS Ventures",3,,"55,785"
Seed Round - Build38,https://www.crunchbase.com/funding_round/build38-seed--2821aa70,Build38,https://www.crunchbase.com/organization/build38,Seed,"Munich, Bayern, Germany, Europe",3000000,EUR,3641873,2021-01-19,Seed,,,,Yes,"Build38 is a provider of mobile application protection solutions for in-app shielding, in-app monitoring, and AI based in-app reaction.","Artificial Intelligence (AI), Cyber Security, Mobile Apps, Mobile Payments, Security",,https://build38.com,$1M to $10M,16000000,EUR,17592092,Early Stage Venture,3,"Criteria Venture Tech, eCAPITAL ENTREPRENEURIAL PARTNERS","Criteria Venture Tech, eCAPITAL ENTREPRENEURIAL PARTNERS",2,2,"59,774"
Seed Round - Betriebsmittelhelden,https://www.crunchbase.com/funding_round/betriebsmittelhelden-seed--c8b5c8c9,Betriebsmittelhelden,https://www.crunchbase.com/organization/betriebsmittelhelden,Seed,"Steinhagen, Nordrhein-Westfalen, Germany, Europe",900000,USD,900000,2021-05-30,Seed,,,,Yes,Betriebsmittelhelden is an independent comparison portal for farmers.,"Agriculture, AgTech, Farming",,https://www.betriebsmittelhelden.de,,900000,USD,900000,Seed,1,Technologiefonds OWL,Technologiefonds OWL,1,,"137,442"
Series B - Unu motors,https://www.crunchbase.com/funding_round/unu-series-b--d7d7b1d7,Unu motors,https://www.crunchbase.com/organization/unu,Series B,"Berlin, Berlin, Germany, Europe",18000000,EUR,21541407,2021-02-04,Early Stage Venture,,,,Yes,"Unu offers a battery-powered, smart electric scooter that enables individuals to commute through an urban environment.","Electric Vehicle, Hardware, Last Mile Transportation, Mobile, Transportation",,https://unumotors.com/,$1B to $10B,43282883,USD,43282883,Early Stage Venture,7,,"Capnamic Ventures, IRIS, Ponooc",3,3,"160,791"
Series A - SIDES,https://www.crunchbase.com/funding_round/simplydelivery-series-a--9ad9ec90,SIDES,https://www.crunchbase.com/organization/simplydelivery,Series A,"Berlin, Berlin, Germany, Europe",10000000,EUR,11863649,2021-07-12,Early Stage Venture,,,,Yes,"SIDES is a Berlin-based startup that provides cloud software for restaurant chains, ghost kitchens or individual businesses.","Cloud Computing, Software",,https://www.get-sides.de/,Less than $1M,10000000,EUR,11863649,Early Stage Venture,1,Cusp Capital,"Cusp Capital, Fortino Capital",2,1,"146,921"
Seed Round - Audvice,https://www.crunchbase.com/funding_round/audvice-seed--1d7c22b3,Audvice,https://www.crunchbase.com/organization/audvice,Seed,"Puch Bei Hallein, Salzburg, Austria, Europe",,,,2021-12-20,Seed,,,,Yes,Audvice unlocks the power of voice at work to help companies inform and educate their employees more effectively.,"Corporate Training, E-Learning, Enterprise Software, SaaS, Software","Women Founded, Women Led",https://www.audvice.com,Less than $1M,,,,Seed,2,Cusp Capital,"CapitalT, Cusp Capital, Tiny VC",3,,"161,501"
Venture Round - KENDAXA Group,https://www.crunchbase.com/funding_round/kendaxa-group-series-unknown--29dd74e6,KENDAXA Group,https://www.crunchbase.com/organization/kendaxa-group,Venture - Series Unknown,"Leipzig, Sachsen, Germany, Europe",,,,2021-02-01,,,,,Yes,KENDAXA is a fast-growing partner for the digitisation & automation of corporate processes - we help you take part in the digital evolution.,"Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Cloud Data Services, Data Mining, Data Storage, Enterprise Software, Machine Learning, Marketing Automation, PaaS, Software",,http://kendaxa.com,$1M to $10M,,,,,1,eCAPITAL ENTREPRENEURIAL PARTNERS,eCAPITAL ENTREPRENEURIAL PARTNERS,1,1,"143,427"
Series A - everstox,https://www.crunchbase.com/funding_round/everstox-series-a--95f4a45e,everstox,https://www.crunchbase.com/organization/everstox,Series A,"Munich, Bayern, Germany, Europe",20000000,EUR,22418458,2021-11-25,Early Stage Venture,,,,Yes,"Europe’s most powerful logistics solution: Store, fulfill and ship across one network – united by one technology to grow beyond.","Logistics, Software, Warehousing",,https://www.everstox.com,$10M to $50M,23000000,EUR,25973908,Early Stage Venture,3,Acton Capital,"Acton Capital, Capnamic Ventures, Flash Ventures, Global Founders Capital",4,1,"123,027"
Series A - Papershift,https://www.crunchbase.com/funding_round/papershift-series-a--027a9a65,Papershift,https://www.crunchbase.com/organization/papershift,Series A,"Karlsruhe, Baden-Wurttemberg, Germany, Europe",,,,2021-01-05,Early Stage Venture,,,,Yes,"Papershift is a SaaS solution for planning, tracking and reporting of working time in companies.","Employment, Human Resources, SaaS, Scheduling, Software",,https://www.papershift.com/en,$1M to $10M,,,,Early Stage Venture,2,eCAPITAL ENTREPRENEURIAL PARTNERS,eCAPITAL ENTREPRENEURIAL PARTNERS,1,,"105,611"
Seed Round - circuly,https://www.crunchbase.com/funding_round/circuly-seed--a8988ad6,circuly,https://www.crunchbase.com/organization/circuly,Seed,"Bielefeld, Nordrhein-Westfalen, Germany, Europe",1300000,EUR,1541605,2021-06-30,Seed,,,,Yes,Circuly helps companies to launch and scale rental business for physical goods.,"E-Commerce, Internet, Software",,https://www.circuly.io/,Less than $1M,1300000,EUR,1541605,Seed,2,neoteq ventures,"neoteq ventures, Technologiefonds OWL, Venista Ventures",3,1,"159,075"
