Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - MINDZEIT®,https://www.crunchbase.com/funding_round/mindzeit-seed--cfb3a332,MINDZEIT®,https://www.crunchbase.com/organization/mindzeit,Seed,"Köln, Nordrhein-Westfalen, Germany, Europe",,,,2021-07-26,Seed,,,,Yes,MINDZEIT is an intelligent coaching system based on mindfulness and meditation.,"Apps, Fitness, InsurTech, Wellness","Women Founded, Women Led",https://mindzeit.app/,Less than $1M,60000,EUR,69567,Seed,5,,TechFounders,1,,"42,492"
Seed Round - e.GO Mobile,https://www.crunchbase.com/funding_round/e-go-mobile-seed--e80c52f2,e.GO Mobile,https://www.crunchbase.com/organization/e-go-mobile,Seed,"Aachen, Nordrhein-Westfalen, Germany, Europe",2250000,USD,2250000,2021-12-08,Seed,,,,Yes,e.GO Mobile develops and produces electronic vehicles.,"Advice, Automotive, Electric Vehicle, Finance, Sustainability, Transportation, Venture Capital",Women Founded,http://e-go-mobile.com/en/,$10M to $50M,170723809,USD,170723809,M&A,4,,Portfolia,1,,"51,942"
Pre Seed Round - specter automation,https://www.crunchbase.com/funding_round/specter-automation-pre-seed--2eff68c6,specter automation,https://www.crunchbase.com/organization/specter-automation,Pre-Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2021-10-31,Seed,,,,Yes,"B2B SaaS company for AI powered automation of construction site management and tracking, effectively cutting construction delays in half.","Artificial Intelligence (AI), Construction, Enterprise Software, SaaS, Software",,http://www.specter-automation.com/,,2700000,EUR,2932383,Seed,2,,,,,"59,501"
Seed Round - WETHEBRANDS (WTB),https://www.crunchbase.com/funding_round/amazing-brands-group-seed--6a9fb5c5,WETHEBRANDS (WTB),https://www.crunchbase.com/organization/amazing-brands-group,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",5000000,EUR,6072951,2021-05-15,Seed,,,,Yes,"WTB is a technology-driven e-commerce company that buys, grows and operates Amazon businesses globally.","E-Commerce, E-Commerce Platforms, Venture Capital",,https://we-the-brands.de,$1M to $10M,20000000,EUR,22264399,M&A,2,,"Caesar Ventures, Mücke Roth & Company",2,1,"63,155"
Pre Seed Round - Alethea,https://www.crunchbase.com/funding_round/alethea-pre-seed--eec21ca8,Alethea,https://www.crunchbase.com/organization/alethea,Pre-Seed,"Düsseldorf, Nordrhein-Westfalen, Germany, Europe",,,,2021-01-11,Seed,,,,Yes,Workflow software for the corporate finance industry,Software,,https://www.getalethea.com,,,,,Seed,1,,digihub,1,,"112,223"
Pre Seed Round - StageMe,https://www.crunchbase.com/funding_round/stageme-live-pre-seed--e38256bc,StageMe,https://www.crunchbase.com/organization/stageme-live,Pre-Seed,"Düsseldorf, Nordrhein-Westfalen, Germany, Europe",,,,2021-09-01,Seed,1600000,EUR,1894639,Yes,StageMe develops live video streaming solutions for e-commerce portals.,"E-Commerce, Internet, Marketing",,https://www.stageme.live,Less than $1M,,,,Seed,1,,Andrei Bara,1,,"125,864"
Pre Seed Round - Dynasty,https://www.crunchbase.com/funding_round/dynasty-of-pets-pre-seed--eec50f9b,Dynasty,https://www.crunchbase.com/organization/dynasty-of-pets,Pre-Seed,"Düsseldorf, Nordrhein-Westfalen, Germany, Europe",200000,EUR,240974,2021-03-01,Seed,,,,Yes,eCommerce Concept Stores and DTC Pet Brands,"Consumer Goods, E-Commerce, Pet, Retail",,https://dynasty.pet,,200000,EUR,240974,Seed,1,Micha Wagner,Micha Wagner,1,1,"125,878"
Series A - MONDAY.ROCKS,https://www.crunchbase.com/funding_round/monday-rocks-series-a--0b82351c,MONDAY.ROCKS,https://www.crunchbase.com/organization/monday-rocks,Series A,"Düsseldorf, Nordrhein-Westfalen, Germany, Europe",,,,2021-03-21,Early Stage Venture,,,,Yes,MONDAY.ROCKS offers software to identify team bottlenecks and provides data-based recommendations for team leadership.,"Analytics, Apps, Human Resources, SaaS, Software, Software Engineering",,https://www.monday.rocks,Less than $1M,,,,Early Stage Venture,2,,,,,"127,701"
Pre Seed Round - The Good Workshop,https://www.crunchbase.com/funding_round/the-good-workshop-pre-seed--12db226a,The Good Workshop,https://www.crunchbase.com/organization/the-good-workshop,Pre-Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2021-02-10,Seed,,,,Yes,TGW is a web app that automates innovation workshops,"Enterprise Software, Human Resources, Innovation Management, SaaS, Sustainability",,https://www.thegoodworkshop.io/,Less than $1M,50000,USD,50000,Seed,3,Thea Vanessa Knight,Thea Vanessa Knight,1,,"130,902"
Seed Round - Erste Hausverwaltung GmbH,https://www.crunchbase.com/funding_round/erste-hausverwaltung-gmbh-seed--33f12f69,Erste Hausverwaltung GmbH,https://www.crunchbase.com/organization/erste-hausverwaltung-gmbh,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2021-07-05,Seed,,,,Yes,Erste Hausverwaltung offers digital property management. We combine digital processes with local contacts on site.,"Property Management, Real Estate",,https://erste-hausverwaltung.de/,,,,,M&A,1,,Round Hill Ventures,1,,"130,935"
