Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series A - Nomagic,https://www.crunchbase.com/funding_round/nomagic-series-a--2a917a34,Nomagic,https://www.crunchbase.com/organization/nomagic,Series A,"Warsaw, Mazowieckie, Poland, Europe",22000000,USD,22000000,2022-05-24,Early Stage Venture,,,,Yes,Nomagic provides smart pick and place robotic solutions for order fulfillment.,"Artificial Intelligence (AI), Cloud Infrastructure, Logistics, Robotics",,https://nomagic.ai/,$1B to $10B,74600000,USD,74600000,Early Stage Venture,4,"Almaz Capital, Khosla Ventures","Almaz Capital, Capnamic Ventures, DN Capital, European Investment Bank, Hoxton Ventures, Khosla Ventures, Manta Ray Ventures",7,3,"9,070"
Seed Round - GlassDollar,https://www.crunchbase.com/funding_round/glassdollar-seed--799e4054,GlassDollar,https://www.crunchbase.com/organization/glassdollar,Seed,"Berlin, Berlin, Germany, Europe",2000000,EUR,1979400,2022-09-06,Seed,,,,Yes,GlassDollar is a technology company that makes the corporate startup sourcing process digital and scalable.,"Data Mining, Internet, Search Engine",,http://glassdollar.com,$1M to $10M,4050000,EUR,4173718,Seed,4,,"22 Capital, blueworld.group, HTGF | High-Tech Gruenderfonds",3,,"21,223"
Seed Round - Industrial Technology and Witchcraft,https://www.crunchbase.com/funding_round/industrial-technology-and-witchcraft-seed--50371db0,Industrial Technology and Witchcraft,https://www.crunchbase.com/organization/industrial-technology-and-witchcraft,Seed,"Berlin, Berlin, Germany, Europe",1680000,EUR,1875126,2022-03-30,Seed,,,,Yes,Industrial Technology and Witchcraft make games in voxels and pixels with amazing soundtracks.,"Computer, Gaming, Video Games",,https://www.industrial-technology-and-witchcraft.com/,,1680000,EUR,1875126,Seed,1,,"Benjamin Bak, Bjoern Sykora, BLN Capital, Dirk Graber, DN Capital, HTGF | High-Tech Gruenderfonds, Jan Dzulko, Johannis Hatt, JVH Ventures, Michael Wieser, Paul Schwarzenholz",11,,"50,283"
Series A - cofenster,https://www.crunchbase.com/funding_round/cofenster-series-a--85fb56b9,cofenster,https://www.crunchbase.com/organization/cofenster,Series A,"Hamburg, Hamburg, Germany, Europe",8000000,EUR,9128804,2022-02-10,Early Stage Venture,,,,Yes,cofenster is a video software company that enables to quickly and easily create videos in-house.,"Software, Video, Video on Demand",,https://www.cofenster.com/,$1M to $10M,9500000,EUR,10923921,Early Stage Venture,2,Signals Venture Capital,"Capnamic Ventures, Signals Venture Capital",2,2,"50,838"
Series A - Lumiform,https://www.crunchbase.com/funding_round/lumiform-series-a--32e96424,Lumiform,https://www.crunchbase.com/organization/lumiform,Series A,"Berlin, Berlin, Germany, Europe",6400000,EUR,6816829,2022-06-01,Early Stage Venture,,,,Yes,Lumiform is the deskless worker OS that helps businesses digitize and automate workflows for frontline teams.,"Information Technology, Service Industry, Software",,https://lumiformapp.com/,$1M to $10M,7800000,EUR,8385536,Early Stage Venture,3,Capnamic Ventures,"42CAP, Capnamic Ventures, Christian Henschel, Christoph Gerber, Christophe Folschette, EquityPitcher Ventures, EXXETA, Jan Hendrik Ansink, Kai Hansen, Paul Müller, Stefan Tietze, Thibaut Britz, WestTech Ventures",13,,"52,055"
Seed Round - LiSA,https://www.crunchbase.com/funding_round/lisa-live-stream-shopping-seed--2d8f8dd5,LiSA,https://www.crunchbase.com/organization/lisa-live-stream-shopping,Seed,"Düsseldorf, Nordrhein-Westfalen, Germany, Europe",2700000,EUR,2747938,2022-08-17,Seed,,,,Yes,"LiSA is a SaaS start-up the most joyful, seamless and scalable live shopping experiences to e-retailers and marketplaces across the globe.","E-Commerce, E-Commerce Platforms, Marketplace, Retail, Retail Technology, Shopping, Social Shopping, Software, Video Streaming",,https://hello-lisa.com,Less than $1M,2700000,EUR,2747938,Seed,1,TechVision Fund,"Georgina Smallwood, TechVision Fund, Venrex",3,1,"52,510"
Seed Round - marta,https://www.crunchbase.com/funding_round/marta-ccc1-seed--e78926ab,marta,https://www.crunchbase.com/organization/marta-ccc1,Seed,"Berlin, Berlin, Germany, Europe",6600000,EUR,6577957,2022-08-23,Seed,,,,Yes,marta provides software for the live-in care market that empowers caregivers and helps our seniors to age in dignity.,"Health Care, Home Health Care, Software",,https://www.marta.de/,$1M to $10M,6600000,EUR,6577957,Seed,2,"Almaz Capital, Capnamic Ventures","Almaz Capital, Capnamic Ventures, Christian Vollmann, GMP Capital, Ithaca Investments, Johannes Schaback, Julian Stiefel, Laura Esnola, Steffen Zoller, SumUp Impact Fund, Verve Ventures",11,2,"53,748"
Seed Round - Ebenbuild,https://www.crunchbase.com/funding_round/ebenbuild-seed--bf22c723,Ebenbuild,https://www.crunchbase.com/organization/ebenbuild,Seed,"Munich, Bayern, Germany, Europe",,,,2022-03-31,Seed,,,,Yes,A digital twin platform to combat respiratory diseases through high-value health intelligence,"Health Care, Medical Device, Software",,https://www.ebenbuild.com,$1M to $10M,,,,Seed,1,,"Bayern Kapital, HTGF | High-Tech Gruenderfonds",2,,"57,461"
Seed Round - how.fm,https://www.crunchbase.com/funding_round/soundreply-seed--9cb65385,how.fm,https://www.crunchbase.com/organization/soundreply,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",5000000,EUR,5366350,2022-05-26,Seed,,,,Yes,how.fm is a manual worker training and performance support platform,"Information Technology, Software",,http://www.how.fm,$1M to $10M,8166350,USD,8166350,Seed,2,Join Capital,"Andrej Henkler, Capnamic Ventures, Christopher North, François Nuyts, Join Capital, Kindred Capital, Leblon Capital, Michael Wax",8,3,"59,182"
Seed Round - C-mo Medical Solutions,https://www.crunchbase.com/funding_round/c-mo-medical-solutions-seed--c65a51ea,C-mo Medical Solutions,https://www.crunchbase.com/organization/c-mo-medical-solutions,Seed,"Caparica, Setubal, Portugal, Europe",4100000,EUR,4080239,2022-09-01,Seed,,,,Yes,"C-mo is the solution providing a complete assessment of cough, adressing key use-cases across the patient management lifecycle.","Health Care, Medical",,https://c-mo.solutions/,,4800000,EUR,4840486,Seed,3,Boehringer Ingelheim Venture Fund,"Boehringer Ingelheim Venture Fund, HTGF | High-Tech Gruenderfonds, Portugal Ventures",3,3,"59,893"
