Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series B - Ieso Digital Health,https://www.crunchbase.com/funding_round/ieso-digital-health-e164-series-b--15cb0002,Ieso Digital Health,https://www.crunchbase.com/organization/ieso-digital-health-e164,Series B,"Cambridge, Cambridgeshire, United Kingdom, Europe",39000000,EUR,43861326,2021-11-23,Early Stage Venture,,,,Yes,Ieso Digital Health is a health-care based technology agency delivering mental health care (CBT) over the internet.,"Health Care, Health Diagnostics, Information Technology, Mental Health",,https://www.iesohealth.com,$1M to $10M,44013365,USD,44013365,Early Stage Venture,2,Morningside,"Ananda Impact Ventures, IP Group, Molten Ventures, Morningside, Sony Innovation Fund",5,1,"46,615"
Pre Seed Round - Weflow,https://www.crunchbase.com/funding_round/weflow-333e-pre-seed--781e361c,Weflow,https://www.crunchbase.com/organization/weflow-333e,Pre-Seed,"Berlin, Berlin, Germany, Europe",2700000,USD,2700000,2021-11-12,Seed,,,,Yes,"Revenue teams use Weflow to boost productivity, pipeline visibility, forecast accuracy, and Salesforce data hygiene.","Information Technology, SaaS, Sales, Sales Automation, Software",,https://www.getweflow.com,$1M to $10M,5900000,USD,5900000,Seed,2,Cherry Ventures,"Alexander Ljung, Andreas Bodczek, Cherry Ventures, Chris Schagen, Christian Edler, Christian Reber, Eric Quidenus-Wahlforss, Sascha Konietzke",8,1,"57,511"
Seed Round - CarbonCloud,https://www.crunchbase.com/funding_round/carboncloud-ab-seed--3595371e,CarbonCloud,https://www.crunchbase.com/organization/carboncloud-ab,Seed,"Göteborg, Vastra Gotaland, Sweden, Europe",4410000,USD,4410000,2021-11-01,Seed,,,,Yes,CarbonCloud is a SaaS company building digital infrastructure for calculating and communicating climate footprints for food.,"Developer Platform, Information Technology, SaaS, Software",,https://carboncloud.com/,$1M to $10M,13857015,USD,13857015,Early Stage Venture,3,Cusp Capital,"Cusp Capital, Maki.vc, TS Ventures",3,,"55,481"
Seed Round - Build38,https://www.crunchbase.com/funding_round/build38-seed--2821aa70,Build38,https://www.crunchbase.com/organization/build38,Seed,"Munich, Bayern, Germany, Europe",3000000,EUR,3641873,2021-01-19,Seed,,,,Yes,"Build38 is a provider of mobile application protection solutions for in-app shielding, in-app monitoring, and AI based in-app reaction.","Artificial Intelligence (AI), Cyber Security, Mobile Apps, Mobile Payments, Security",,https://build38.com,$1M to $10M,16000000,EUR,17592092,Early Stage Venture,3,"Criteria Venture Tech, eCAPITAL ENTREPRENEURIAL PARTNERS","Criteria Venture Tech, eCAPITAL ENTREPRENEURIAL PARTNERS",2,2,"60,343"
Seed Round - Quix,https://www.crunchbase.com/funding_round/quix-ai-seed--ad32dafc,Quix,https://www.crunchbase.com/organization/quix-ai,Seed,"London, England, United Kingdom, Europe",2300000,GBP,3234285,2021-05-12,Seed,,,,Yes,Quix is a server-less real-time data platform that provides real-time back-end application and data processing services.,"Analytics, Cloud Computing, Cloud Data Services, Cloud Infrastructure, Information Technology",,https://quix.io,$1M to $10M,13300000,GBP,16161546,Early Stage Venture,2,Project A Ventures,"Chris Schagen, Frank Sagnier, Ian Hogarth, Michael Schrezenmaier, Passion Capital, Project A Ventures",6,2,"64,702"
Series A - Deed,https://www.crunchbase.com/funding_round/deed-2-series-a--63fbe910,Deed,https://www.crunchbase.com/organization/deed-2,Series A,"Brooklyn, New York, United States, North America",10000000,USD,10000000,2021-12-09,Early Stage Venture,,,,Yes,Deed provides a social impact platform to connect people with causes and businesses with social impact.,"Cause Marketing, Communities, Human Resources, SaaS, Social Impact",,http://joindeed.com,Less than $1M,12800000,USD,12800000,Early Stage Venture,3,Earlybird Venture Capital,"Chris Murphy, Dara Khosrowshahi, David Clarke, Earlybird Venture Capital, PruVen Capital, SquareOne Venture Capital, WndrCo, Y Combinator",8,1,"83,107"
Series A - Clarisights,https://www.crunchbase.com/funding_round/clarisights-series-a--13783516,Clarisights,https://www.crunchbase.com/organization/clarisights,Series A,"Lewes, Delaware, United States, North America",14000000,USD,14000000,2021-10-04,Early Stage Venture,,,,Yes,Clarisights is a no-code reporting platform for data-driven marketing teams.,"Advertising, Business Intelligence, SaaS",,https://www.clarisights.com/,$1M to $10M,16300000,USD,16300000,Early Stage Venture,4,Peak XV Partners,"Anand Jain, Anoop Vasisht, Balthazar de Lavergne, Better Capital, Bossa Invest, Brock Saunders, Connor Murphy, David Rosskamp, Declan Kelly, Firestartr, GTMfund, Guillaume ""G"" Cabane, Jens Lapinski, Max Altschuler, NAP, OMERS Ventures, Peak XV Partners, Rahul Kayala, Signals Venture Capital, Srikrishnan Ganesan, Zach Coelius",21,5,"86,173"
Series C - SimScale,https://www.crunchbase.com/funding_round/simscale-series-c--1cc938f9,SimScale,https://www.crunchbase.com/organization/simscale,Series C,"Munich, Bayern, Germany, Europe",25000000,EUR,29205915,2021-10-28,Late Stage Venture,,,,Yes,SimScale is a web-based 3d simulation platform.,"3D Technology, CAD, Cloud Computing, Internet, Product Design, Simulation, Software",,https://www.simscale.com/,$10M to $50M,52000000,EUR,58983674,Late Stage Venture,6,"Insight Partners, Molten Ventures","Earlybird Venture Capital, Insight Partners, June Fund, Leblon Capital, Molten Ventures, Union Square Ventures, Vsquared Ventures",7,5,"86,392"
Seed Round - Energy Robotics,https://www.crunchbase.com/funding_round/energy-robotics-seed--33788522,Energy Robotics,https://www.crunchbase.com/organization/energy-robotics,Seed,"Darmstadt, Hessen, Germany, Europe",2000000,EUR,2441731,2021-01-12,Seed,,,,Yes,Energy Robotics is a developer of software solutions for mobile inspection robots.,"Artificial Intelligence (AI), Robotics, Software",,https://www.energy-robotics.com/,$1M to $10M,4500000,EUR,4919697,Seed,2,Earlybird Venture Capital,"Andrej Henkler, Earlybird Venture Capital, Gerhard Roiss, Leblon Capital, Martin Klässner, Paul Achleitner",6,1,"86,641"
Seed Round - Lhotse,https://www.crunchbase.com/funding_round/lhotse-seed--8f07f0cd,Lhotse,https://www.crunchbase.com/organization/lhotse,Seed,"Berlin, Berlin, Germany, Europe",5000000,EUR,5905747,2021-09-13,Seed,,,,Yes,Lhotse is an intuitive SaaS platform that automates and simplifies procurement,"Enterprise Software, Information Technology, Procurement, Software",,https://www.lhotse.de/en/,,5000000,EUR,5905747,Seed,1,NAP,"Christopher Oster, Felix Jahn, Katharina Gehra, NAP, Patrick Andrae, Philipp Kloeckner, SquareOne Venture Capital",7,1,"86,895"
Seed Round - Loctax,https://www.crunchbase.com/funding_round/loctax-seed--ce6806fd,Loctax,https://www.crunchbase.com/organization/loctax,Seed,"London, England, United Kingdom, Europe",3600000,USD,3600000,2021-02-18,Seed,,,,Yes,"Compliance, Risk, and Governance platform purpose-built for in-house tax teams to monitor, analyse, and action data.","FinTech, SaaS, Software",,https://www.loctax.com,$1M to $10M,15600000,USD,15600000,Early Stage Venture,4,NAP,"Amaranthine, Angel Invest, David Mytton, MSM, NAP, Seedcamp, Tapestry VC",7,,"95,689"
Seed Round - circuly,https://www.crunchbase.com/funding_round/circuly-seed--a8988ad6,circuly,https://www.crunchbase.com/organization/circuly,Seed,"Bielefeld, Nordrhein-Westfalen, Germany, Europe",1300000,EUR,1541605,2021-06-30,Seed,,,,Yes,Circuly helps companies to launch and scale rental business for physical goods.,"E-Commerce, Internet, Software",,https://www.circuly.io/,Less than $1M,1300000,EUR,1541605,Seed,2,neoteq ventures,"neoteq ventures, Technologiefonds OWL, Venista Ventures",3,1,"96,790"
Venture Round - Supercam,https://www.crunchbase.com/funding_round/supercam-series-unknown--9159150e,Supercam,https://www.crunchbase.com/organization/supercam,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",,,,2021-02-22,,,,,Yes,Supercam is a software developer of video conferencing and communication.,"Meeting Software, Software, Video",,http://www.supercam.co/,,,,,,1,Cherry Ventures,Cherry Ventures,1,,"101,361"
Series A - Papershift,https://www.crunchbase.com/funding_round/papershift-series-a--027a9a65,Papershift,https://www.crunchbase.com/organization/papershift,Series A,"Karlsruhe, Baden-Wurttemberg, Germany, Europe",,,,2021-01-05,Early Stage Venture,,,,Yes,"Papershift is a SaaS solution for planning, tracking and reporting of working time in companies.","Employment, Human Resources, SaaS, Scheduling, Software",,https://www.papershift.com/en,$1M to $10M,,,,Early Stage Venture,2,eCAPITAL ENTREPRENEURIAL PARTNERS,eCAPITAL ENTREPRENEURIAL PARTNERS,1,,"102,170"
Venture Round - KENDAXA Group,https://www.crunchbase.com/funding_round/kendaxa-group-series-unknown--29dd74e6,KENDAXA Group,https://www.crunchbase.com/organization/kendaxa-group,Venture - Series Unknown,"Leipzig, Sachsen, Germany, Europe",,,,2021-02-01,,,,,Yes,KENDAXA is a fast-growing partner for the digitisation & automation of corporate processes - we help you take part in the digital evolution.,"Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Cloud Data Services, Data Mining, Data Storage, Enterprise Software, Machine Learning, Marketing Automation, PaaS, Software",,http://kendaxa.com,$1M to $10M,,,,,1,eCAPITAL ENTREPRENEURIAL PARTNERS,eCAPITAL ENTREPRENEURIAL PARTNERS,1,1,"112,146"
