Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series B - Sastrify,https://www.crunchbase.com/funding_round/sastrify-series-b--1696da57,Sastrify,https://www.crunchbase.com/organization/sastrify,Series B,"Cologne, Nordrhein-Westfalen, Germany, Europe",22000000,USD,22000000,2023-05-22,Early Stage Venture,,,,Yes,Sastrify is a virtual SaaS service procurement software that improves SaaS operations management and SaaS spending.,"Procurement, SaaS, Software",,https://sastrify.com,$10M to $50M,55193364,USD,55193364,Early Stage Venture,6,Endeit Capital,"Endeit Capital, FirstMark, HV Capital, Simon Capital, TriplePoint Capital",5,3,"215,684"
Series A - kyp.ai,https://www.crunchbase.com/funding_round/kyp-ai-series-a--c4ba219f,kyp.ai,https://www.crunchbase.com/organization/kyp-ai,Series A,"Köln, Nordrhein-Westfalen, Germany, Europe",17500000,EUR,18637324,2023-09-20,Early Stage Venture,,,,Yes,kyp.ai is a transformation mining company fueling digital change.,Artificial Intelligence (AI),,https://www.kyp.ai/,$10M to $50M,17500000,EUR,18637324,Early Stage Venture,2,OTB Ventures,"42CAP, OTB Ventures, Tola Capital",3,1,"134,705"
Series B - talpasolutions,https://www.crunchbase.com/funding_round/talpasolutions-series-b--b6f43abf,talpasolutions,https://www.crunchbase.com/organization/talpasolutions,Series B,"Essen, Nordrhein-Westfalen, Germany, Europe",15000000,EUR,16258277,2023-03-28,Early Stage Venture,,,,Yes,talpasolutions offers a predictive analytics SaaS platform that delivers unparalleled added value for the heavy industries.,"Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning, SaaS, Software",,http://www.talpasolutions.com,Less than $1M,21000000,EUR,23505744,Early Stage Venture,3,"Bosch Ventures, MIG Capital","Bosch Ventures, F-LOG Ventures, Gruenderfonds Ruhr, Hannover Digital Investments, HTGF | High-Tech Gruenderfonds, MIG Capital, NRW.BANK, Prospect Mining Studio, RAG-Stiftung",9,3,"35,829"
Series A - Mammaly,https://www.crunchbase.com/funding_round/mammaly-series-a--84c6e65c,Mammaly,https://www.crunchbase.com/organization/mammaly,Series A,"Köln, Nordrhein-Westfalen, Germany, Europe",14000000,EUR,15026135,2023-09-13,Early Stage Venture,,,,Yes,"Mammaly, a pet health startup that develops a range of snacks specifically targeting and helping reduce the severity of aging dog issues.","Animal Feed, Health Care, Pet",,https://www.mammaly.de,$10M to $50M,17000000,EUR,18426273,Early Stage Venture,2,"Five Seasons Ventures, IRIS Ventures","Attila Balogh, Five Seasons Ventures, IRIS Ventures",3,,"160,263"
Series A - Zendure,https://www.crunchbase.com/funding_round/zendure-series-a--cbb0caa6,Zendure,https://www.crunchbase.com/organization/zendure,Series A,"Düsseldorf, Nordrhein-Westfalen, Germany, Europe",100000000,CNY,13850032,2023-06-27,Early Stage Venture,,,,Yes,Zendure is the pioneer of the world’s first plug-and-play balcony energy storage system.,"CleanTech, Consumer Electronics, Energy Management, Energy Storage",,http://www.zendure.de,$1M to $10M,15673032,USD,15673032,Early Stage Venture,6,Sinovation Ventures,"Houxue Capital, Sinovation Ventures, XinYue Equity, Zhejiang XIngyue",4,,"13,418"
Series B - Sunvigo,https://www.crunchbase.com/funding_round/sunvigo-series-b--63d95162,Sunvigo,https://www.crunchbase.com/organization/sunvigo,Series B,"Cologne, Nordrhein-Westfalen, Germany, Europe",12000000,EUR,13169996,2023-04-18,Early Stage Venture,,,,Yes,Sunvigo provides you with cheap solar power from your roof and real green power from the grid.,"Renewable Energy, Solar",,https://www.sunvigo.de/,$100M to $500M,53000000,EUR,59106391,Early Stage Venture,7,"Future Energy Ventures, Triodos Bank","Eneco Ventures, Future Energy Ventures, HTGF | High-Tech Gruenderfonds, Sparta Capital, Triodos Bank, Übermorgen Ventures",6,2,"422,846"
Series A - aedifion,https://www.crunchbase.com/funding_round/aedifion-series-a--ea1ba0f5,aedifion,https://www.crunchbase.com/organization/aedifion,Series A,"Cologne, Nordrhein-Westfalen, Germany, Europe",12000000,EUR,13045804,2023-01-27,Early Stage Venture,,,,Yes,"Buildings Simply Made Better: The AI-based cloud platform enables us to reduce energy waste, CO2 emissions and operating costs of buildings.","Cloud Data Services, Software",,https://www.aedifion.com/,$1M to $10M,12000000,EUR,13045804,Early Stage Venture,4,"BeyondBuild, World Fund","Bauwens Digital, BeyondBuild, BitStone Capital, Drees & Sommer AG, MOMENI Ventures, Phoenix Contact Innovation Ventures, World Fund",7,2,"208,318"
Series A - bezahl.de,https://www.crunchbase.com/funding_round/bezahl-series-a--808b5bac,bezahl.de,https://www.crunchbase.com/organization/bezahl,Series A,"Cologne, Nordrhein-Westfalen, Germany, Europe",11000000,EUR,11603669,2023-03-07,Early Stage Venture,,,,Yes,NX Technologies provides digital and automated payment management and solutions.,"Financial Services, Mobile Payments, Payments",,https://www.bezahl.de,$10M to $50M,38000000,EUR,41384068,Early Stage Venture,3,Motive Ventures,"Carcharodon Capital, Ingo Weber, Motive Partners, Motive Ventures, Rolf Christof Dienst, Wessel Management",6,1,"219,835"
Seed Round - Cylib,https://www.crunchbase.com/funding_round/cylib-gmbh-seed--0940a1db,Cylib,https://www.crunchbase.com/organization/cylib-gmbh,Seed,"Aachen, Nordrhein-Westfalen, Germany, Europe",8000000,EUR,8553360,2023-02-15,Seed,,,,Yes,Cylib is a start-up for holistic battery recycling,"Battery, Chemical Engineering, CleanTech",,https://www.cylib.de/,$1M to $10M,66600000,EUR,71939011,Early Stage Venture,4,World Fund,"10x Founders, Kai Hansen, Karim Tabet Jalbout, Speedinvest, Vsquared Ventures, World Fund",6,4,"99,112"
Series B - ESFORIN,https://www.crunchbase.com/funding_round/es-for-in-series-b--2b7d8bd0,ESFORIN,https://www.crunchbase.com/organization/es-for-in,Series B,"Essen, Nordrhein-Westfalen, Germany, Europe",7500000,EUR,8066737,2023-05-24,Early Stage Venture,,,,Yes,"ESFORIN SE is a fully digital energy company, offering modularly integrable energy solutions – for both, power and gas.","Energy, Renewable Energy",,https://www.esforin.com,$1M to $10M,7500000,EUR,8066737,Early Stage Venture,2,SEB Greentech Venture Capital,"Christoph Ostermann, ERAME Equity, SEB Greentech Venture Capital, SET Ventures",4,3,"53,402"
